Title,Category,Cover image,Summary,Slug,Price,Stock,Featured
Coastal Knit Beanie,Beanies,https://placehold.co/1200x1200/png?text=Coastal+Knit+Beanie,Soft handmade crochet beanie for everyday wear.,coastal-knit-beanie,10.00,2,TRUE
Midnight Rib Beanie,Beanies,https://placehold.co/1200x1200/png?text=Midnight+Rib+Beanie,Chunky ribbed beanie with a warm snug fit.,midnight-rib-beanie,10.00,2,FALSE
Maple Twist Beanie,Beanies,https://placehold.co/1200x1200/png?text=Maple+Twist+Beanie,Classic crochet beanie with textured stitch detail.,maple-twist-beanie,10.00,2,TRUE
Snowdrop Beanie,Beanies,https://placehold.co/1200x1200/png?text=Snowdrop+Beanie,Lightweight and cozy beanie for cooler days.,snowdrop-beanie,10.00,2,FALSE
Rustic Loop Beanie,Beanies,https://placehold.co/1200x1200/png?text=Rustic+Loop+Beanie,Handmade beanie with a relaxed modern shape.,rustic-loop-beanie,10.00,2,FALSE
Evergreen Cable Beanie,Beanies,https://placehold.co/1200x1200/png?text=Evergreen+Cable+Beanie,Cable style crochet beanie with soft yarn finish.,evergreen-cable-beanie,10.00,2,FALSE
Blush Bloom Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Blush+Bloom+Scrunchie,Gentle hold crochet scrunchie for daily styling.,blush-bloom-scrunchie,3.50,2,TRUE
Honey Bun Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Honey+Bun+Scrunchie,Soft oversized scrunchie with comfortable stretch.,honey-bun-scrunchie,3.50,2,FALSE
Ocean Mist Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Ocean+Mist+Scrunchie,Crochet scrunchie with airy texture and volume.,ocean-mist-scrunchie,3.50,2,FALSE
Lavender Cloud Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Lavender+Cloud+Scrunchie,Handmade scrunchie designed for low-pull styling.,lavender-cloud-scrunchie,3.50,2,TRUE
Velvet Moss Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Velvet+Moss+Scrunchie,Plush crochet scrunchie with a premium soft feel.,velvet-moss-scrunchie,3.50,2,FALSE
Sunset Pop Scrunchie,Scrunchies,https://placehold.co/1200x1200/png?text=Sunset+Pop+Scrunchie,Colorful crochet scrunchie to brighten any outfit.,sunset-pop-scrunchie,3.50,2,FALSE
Willow Fringe Scarf,Scarves,https://placehold.co/1200x1200/png?text=Willow+Fringe+Scarf,Long handmade crochet scarf with fringe ends.,willow-fringe-scarf,17.50,2,TRUE
Amber Weave Scarf,Scarves,https://placehold.co/1200x1200/png?text=Amber+Weave+Scarf,Warm textured scarf for everyday layering.,amber-weave-scarf,17.50,2,FALSE
Frostline Scarf,Scarves,https://placehold.co/1200x1200/png?text=Frostline+Scarf,Soft winter scarf with clean classic styling.,frostline-scarf,17.50,2,TRUE
Harbor Knit Scarf,Scarves,https://placehold.co/1200x1200/png?text=Harbor+Knit+Scarf,Cozy crochet scarf made for cold weather comfort.,harbor-knit-scarf,17.50,2,FALSE
